A/C,N,R,O,RU,UO,U,RO
mango KR,0.000363774,6.06E-05,7.58E-05,3.03E-05,0,6.06E-05,0
mango MR,1.52E-05,9.09E-05,0.000106101,9.09E-05,3.03E-05,0.000227359,0.000106101
mango NR,0.000303145,0.001788556,0.00110648,0.000575976,0.000591133,0.002895036,0.000697234
mushroom LR,4.55E-05,9.09E-05,7.58E-05,7.58E-05,3.03E-05,0.000257673,1.52E-05
mushroom HR,0,0,0,0,0,3.03E-05,0
mushroom KR,0.000500189,0.001439939,0.00093975,0.00043956,0.000545661,0.002500947,0.000742706
mushroom MR,0,1.52E-05,3.03E-05,0,1.52E-05,7.58E-05,0
mushroom NR,0.00016673,0.000757863,0.000485032,0.00033346,0.000197044,0.000970064,0.000212202
nuckol LR,1.52E-05,0.000151573,6.06E-05,9.09E-05,7.58E-05,0.000409246,6.06E-05
nuckol HR,0,1.52E-05,3.03E-05,1.52E-05,0,0,3.03E-05
nuckol MR,1.52E-05,0.000106101,7.58E-05,7.58E-05,0,0.000151573,3.03E-05
nuckol KR,0.000545661,0.001242895,0.001030693,0.000409246,0.000424403,0.002137173,0.000530504
nuckol NR,0.000136415,0.000788177,0.00033346,0.000257673,0.000287988,0.001136794,0.000318302
onion LR,0,7.58E-05,4.55E-05,1.52E-05,3.03E-05,0.000136415,1.52E-05
onion HR,0,0,1.52E-05,0,0,1.52E-05,0
onion MR,0,4.55E-05,3.03E-05,1.52E-05,1.52E-05,3.03E-05,0
onion KR,0.000697234,0.001743085,0.001182266,0.000636605,0.000621448,0.003046609,0.000757863
onion NR,1.52E-05,0.00043956,0.000257673,0.000181887,0.000121258,0.00060629,0.000197044
peas LR,4.55E-05,0.000242516,0.000181887,0.000151573,6.06E-05,0.000666919,9.09E-05
peas HR,1.52E-05,3.03E-05,0,1.52E-05,1.52E-05,4.55E-05,1.52E-05
peas KR,0.00043956,0.000136415,0.000242516,0.000106101,0.000136415,0.000485032,0.000106101
peas MR,1.52E-05,6.06E-05,1.52E-05,3.03E-05,3.03E-05,0.000197044,4.55E-05
peas NR,0.000197044,0.001834028,0.001091322,0.000545661,0.000545661,0.002440318,0.000712391
potroot LR,0,9.09E-05,4.55E-05,9.09E-05,4.55E-05,0.000121258,4.55E-05
potroot HR,0,0,0,1.52E-05,0,0,0
potroot KR,0.000636605,0.001955286,0.001242895,0.000591133,0.000636605,0.00309208,0.000833649
potroot MR,0,0,0,3.03E-05,0,3.03E-05,0
potroot NR,7.58E-05,0.000257673,0.000242516,0.000121258,0.000106101,0.000591133,9.09E-05
paneer LR,4.55E-05,0.000121258,4.55E-05,4.55E-05,3.03E-05,0.000197044,4.55E-05
paneer HR,0,1.52E-05,1.52E-05,1.52E-05,1.52E-05,1.52E-05,1.52E-05
paneer KR,0.000530504,0.001591512,0.00093975,0.000545661,0.000515347,0.002516105,0.000651762
paneer MR,3.03E-05,3.03E-05,6.06E-05,3.03E-05,1.52E-05,7.58E-05,3.03E-05
paneer NR,0.000106101,0.000545661,0.000469875,0.000212202,0.000212202,0.001030693,0.000227359
potato LR,1.52E-05,0.000151573,7.58E-05,6.06E-05,7.58E-05,0.000303145,7.58E-05
potato HR,0,0,0,0,0,4.55E-05,1.52E-05
potato KR,0.000515347,0.001091322,0.000697234,0.000454718,0.000287988,0.001743085,0.000485032
potato MR,1.52E-05,7.58E-05,7.58E-05,4.55E-05,1.52E-05,9.09E-05,3.03E-05
potato NR,0.00016673,0.000985222,0.000682077,0.000287988,0.000409246,0.001652141,0.000363774
pumkin LR,1.52E-05,0.000318302,0.000212202,0.000106101,9.09E-05,0.000818492,9.09E-05
pumkin HR,0,3.03E-05,1.52E-05,1.52E-05,0,3.03E-05,1.52E-05
pumkin KR,0.000363774,9.09E-05,6.06E-05,3.03E-05,1.52E-05,0.000121258,6.06E-05
pumkin MR,1.52E-05,0.000106101,3.03E-05,9.09E-05,0.000106101,0.00016673,3.03E-05
pumkin NR,0.000318302,0.001758242,0.001212581,0.00060629,0.000575976,0.002697992,0.00077302
pudina LR,0,1.52E-05,0,0,3.03E-05,3.03E-05,0
pudina KR,0.000682077,0.002015915,0.001409625,0.000712391,0.000682077,0.003364911,0.000833649
pudina NR,3.03E-05,0.000272831,0.000121258,0.000136415,7.58E-05,0.00043956,0.000136415
radish LR,0,1.52E-05,0,3.03E-05,0,6.06E-05,0
radish HR,0,0,1.52E-05,0,0,3.03E-05,0
radish KR,0.000666919,0.00215233,0.001394468,0.000697234,0.000697234,0.003440697,0.000924593
radish MR,0,0,1.52E-05,1.52E-05,3.03E-05,0,0
radish NR,4.55E-05,0.000136415,0.000106101,0.000106101,6.06E-05,0.000303145,4.55E-05
tomato LR,1.52E-05,0.000136415,7.58E-05,7.58E-05,0.000151573,0.000348617,0.000121258
tomato HR,0,0,0,0,1.52E-05,4.55E-05,0
tomato KR,0.000560818,0.001500568,0.001030693,0.000545661,0.000409246,0.002379689,0.00060629
tomato MR,1.52E-05,4.55E-05,4.55E-05,1.52E-05,1.52E-05,0.000181887,3.03E-05
tomato NR,0.000121258,0.000621448,0.000378931,0.000212202,0.000197044,0.000879121,0.000212202
tondaikai LR,9.09E-05,0.000651762,0.000515347,0.00033346,0.000257673,0.001394468,0.000227359
tondaikai HR,1.52E-05,0.000106101,0.000121258,4.55E-05,0,0.000212202,9.09E-05
tondaikai KR,0.000348617,3.03E-05,4.55E-05,0,0,4.55E-05,0
tondaikai MR,0.000136415,0.000545661,0.000303145,0.000227359,9.09E-05,0.000757863,0.000212202
tondaikai NR,0.000121258,0.000970064,0.000545661,0.000242516,0.00043956,0.001424782,0.00043956
